0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
-0.41675258,0.51362735,-0.81334877,-0.6134409,-1.38071,-0.035674423,-0.121187374,1.4417111,0.4407916,0.5871661,0.124237135,-0.29889116,0.20608811,0.98901224,-0.24532521,-1.037454,-1.0961275,0.47133678,0.8779901,-0.6530693,-0.036774814,0.19462144,-0.69116634,-1.5822946,-0.19412462,-0.5612638,-0.15903285,0.043168843,-0.050638735,1.0712817,0.5176024,0.06588864,0.97515064,0.1477806,0.5249956,-0.005549981,-0.075220205,1.125066,-1.4195459,0.10461536,-0.57961875,-0.5552161,0.49025473,0.6116758,-0.03799122,0.56912494,-0.607284,0.69297916,-1.0735857,0.2218963,0.18423516,0.86164945,0.014079545,-0.88083047,-0.26527038,0.12931131,0.440526,0.14351508,-0.6289553,-0.7683465,0.7681185,-0.39545175,-0.7403383,0.37664926,-0.6076894,-0.09503487,-0.43746686,0.023373123,0.04571549,0.067871265,0.48150086,0.13390896,0.36862585,0.34685102,-0.43319023,-0.61369884,-0.8008973,0.09015946,-0.058602914,-0.032040734,-0.09415859,-0.54440534,0.15664528,0.45770562,0.7093874,-0.3003718,-0.785555,-0.74278384
-0.32368854,0.5397665,-1.041389,-0.7058755,-1.228609,-0.2881672,-0.29864213,1.4438396,0.337669,0.73933244,0.15305416,-0.08358334,0.22752188,1.0033851,-0.02995399,-0.85408205,-1.1616037,0.08332292,0.67229563,-0.580589,-0.26817843,0.007996596,-0.8281302,-1.5955706,0.09930399,-0.67149615,-0.47306195,-0.058043346,0.25575176,1.0097764,0.7563221,-0.14250472,0.7771283,-0.011574231,0.6029694,0.12367186,-0.2694454,0.8822505,-1.228627,0.014713982,-0.7870869,-0.66639006,0.7275466,0.56337637,0.061067086,0.41651946,-0.6777917,0.44053236,-1.0005634,0.001250792,0.22070926,0.6036118,0.0954834,-0.5765973,0.09839996,-0.109931566,0.44541758,0.068171814,-0.69988334,-0.6388466,0.94567996,-0.5094007,-0.5941737,0.48881495,-0.52796656,-0.09028073,-0.5534991,-0.046481647,0.09872593,0.2568956,0.08281236,-0.10480651,0.7235372,0.4523003,-0.46635005,-0.61954814,-0.5492589,-0.090768024,-0.14255168,-0.3401757,-0.11536526,-0.77762747,0.15345839,0.58621776,0.78511775,-0.7570901,-0.7372353,-0.95477176
-0.24743402,0.39240044,-1.2595832,-0.92026955,-1.3126963,-0.16590238,-0.73476744,1.534352,0.332931,0.79881227,0.22466657,-0.21430993,0.29011625,0.89405036,-0.21774676,-0.6929597,-1.240965,0.28727463,0.61592394,-0.7048412,-0.31930864,-0.13220805,-0.836767,-1.5787435,0.04058692,-0.690332,-0.4214631,-0.07186806,0.32339358,1.1447968,0.6314349,-0.17015946,0.72676224,-0.009292066,0.807474,0.19288561,-0.5408517,0.70053905,-1.0072674,0.31723568,-0.82950854,-0.6057478,1.0098255,0.37522215,-0.005055841,0.40689194,-0.5101085,0.18398315,-0.73323894,0.2316854,0.13452274,0.55659056,-0.11070858,-0.53969705,0.14839962,-0.046571992,0.68872106,0.079242304,-0.52550817,-0.96395946,0.99922854,-0.52812225,-0.5326693,0.6071897,-0.674366,-0.22650507,-0.6700105,0.18591082,0.24327853,0.23424645,0.15383787,-0.17714044,0.6544734,0.530735,-0.52228504,-0.7277437,-0.6924184,-0.05390583,-0.15701118,-0.19892083,-0.17539984,-0.7664038,-0.06909752,0.4984748,1.0939345,-0.75024825,-0.7865468,-0.85885143
-0.4311223,0.46282926,-1.2465601,-0.6212008,-1.557542,-0.1807258,-1.0593172,1.3926682,0.31581652,0.9327252,0.50155246,-0.5881666,0.19501902,0.65491015,-0.12717855,-0.6441667,-1.2199154,0.22997823,0.81480324,-0.6039487,-0.0422946,0.13641252,-0.9074597,-1.4445249,0.01380248,-0.7385875,-0.26986378,0.110669374,0.03622406,1.27333,0.5987781,-0.34970993,0.49643832,-0.28976914,0.9128279,0.20428549,-0.605812,0.50422806,-1.0824313,0.39287445,-0.9371046,-0.4787241,0.8572484,0.4585179,0.017908081,0.6947266,-0.52805907,0.42886174,-0.5108053,0.4496932,-0.17185158,0.3846238,-0.057622794,-0.61404806,0.04971122,0.009198524,0.83499306,0.019851219,-0.37717015,-1.0571896,1.141685,-0.35515517,-0.46147594,0.6625092,-0.7786972,-0.27917358,-0.64427,0.41086948,0.1832836,0.18239588,0.2986864,-0.398481,0.4679007,0.20136452,-0.64040875,-0.9023577,-0.7563193,-0.14528641,0.053535685,0.05695285,-0.11576248,-0.5520974,-0.19861019,0.3102235,1.2297237,-0.520769,-0.83014464,-0.6508011
-0.6551406,0.3844844,-1.1131505,-0.49781528,-1.7751284,0.09671138,-1.2685603,1.2631824,0.5065744,0.8468803,0.68692136,-0.5653149,0.38603115,0.60673475,0.023440279,-0.53871113,-1.1586818,0.37655327,1.0889901,-0.5529302,0.007117577,0.6397978,-1.0376282,-1.2945182,-0.10431631,-0.8513966,-0.2273997,0.20961702,-0.03294751,1.3662286,0.689974,-0.2723193,0.41905445,-0.30496177,0.69531107,0.07411574,-0.9455725,0.29198703,-0.9724431,0.6088383,-1.0173426,-0.33264643,0.9809444,0.3840556,0.20738806,0.8441943,-0.37317625,0.43431732,-0.11149461,0.5258647,-0.082924746,0.38877252,-0.2801188,-0.7002094,0.19007134,0.22147775,0.9829276,-0.1996579,-0.11417185,-1.0182935,1.161912,-0.58272904,-0.72653663,0.92529863,-0.9520524,-0.44265223,-0.7515165,0.5468209,0.25725543,0.2087772,0.37328884,-0.652179,0.44069755,-0.05389426,-0.4817134,-0.9955709,-0.94729286,-0.1646713,-0.001068577,0.31515762,-0.18527764,-0.76546156,-0.6944456,0.20163393,1.2691219,-0.36995128,-0.9264356,-0.5159227
-0.5708079,0.29911083,-0.97628105,-0.31932637,-1.5372759,0.27305806,-1.1418906,1.4277084,0.5435586,0.761845,0.7288263,-0.5687973,0.31843156,0.6165022,-0.14365584,-0.591401,-1.2235205,0.514013,1.204851,-0.5335673,0.14266926,0.7590126,-1.0699189,-1.5411869,-0.24245605,-0.7860853,-0.16614345,0.27980784,-0.008418838,1.4552622,0.5545574,-0.21884926,0.35087922,-0.30588377,0.5558552,-0.14554568,-0.81583124,0.38786012,-0.9941027,0.53126305,-1.0070535,-0.14492397,1.0429938,0.26851815,0.30086935,0.86752474,-0.35445976,0.4664148,-0.13676304,0.5399626,-0.14486095,0.4938138,-0.32200295,-0.52079195,0.11409212,0.16312835,0.85931057,-0.35511884,-0.1019795,-0.9930818,0.86989725,-0.48910084,-0.915062,0.87001026,-0.6681585,-0.403581,-0.7799885,0.7161277,0.24476111,-0.000524763,0.52458864,-0.4505125,0.47072208,0.072554976,-0.5597787,-0.8941903,-1.1382256,-0.078406945,-0.24111204,0.55568075,-0.22944003,-0.7530828,-0.7625121,-0.013146497,1.1744835,-0.1309767,-0.9500934,-0.61445934
-0.37454626,0.22780822,-0.78106123,-0.29366344,-1.0794106,0.3652141,-0.8384738,1.5539215,0.21918803,0.66005254,0.7232311,-0.5721027,0.008258812,0.5171294,-0.36989734,-0.7173022,-1.1548523,0.42922306,1.0947884,-0.5892327,0.19025357,0.64364934,-1.0257807,-1.9167145,-0.4078143,-0.6311233,0.14061353,0.3211529,0.09862911,1.28914,0.4670448,0.049336094,0.1860371,-0.081046715,0.54112625,-0.22398537,-0.43427372,0.81904113,-1.1477591,0.3446426,-0.7528722,0.008968197,1.2159808,-0.012637641,0.3805864,0.6046314,-0.5029814,0.48672068,-0.2979822,0.38758063,-0.16851944,0.70692027,-0.34821454,-0.3691344,0.018582173,-0.12984619,0.8520335,-0.5113984,-0.071922906,-0.94000983,0.59233034,-0.3101537,-1.0704248,0.72495764,-0.41770256,-0.35230502,-0.79567385,0.65399015,0.116581805,-0.41346025,0.8108838,0.22347389,0.31844684,0.21252573,-0.74412847,-0.79693204,-1.0695608,0.19667983,-0.5624273,0.6637833,-0.35802352,-0.6370448,-0.5521679,0.15434599,0.9197161,-0.04769527,-0.8677752,-0.7859018
-0.21202454,0.27565002,-0.7621415,-0.5703823,-0.89421093,0.46047306,-0.502183,1.6009341,0.36584452,0.6468208,0.6190524,-0.35518286,-0.09205443,0.4018502,-0.331519,-0.7941395,-1.1008476,0.3713156,1.0007819,-0.4488865,-0.17498241,0.47908023,-0.90960926,-2.0235546,-0.4005117,-0.42694128,0.11204281,0.2778267,0.11692473,1.492728,0.35738704,-0.017639628,0.24838114,0.08021512,0.4209825,-0.26314962,-0.45475954,1.041043,-1.1338748,0.2955753,-0.52075726,0.11852475,1.34181,-0.08548853,0.3378654,0.4928492,-0.56945187,0.5182213,-0.39452016,0.3297851,-0.15807365,0.85120726,-0.22371444,-0.3932973,0.024880648,-0.19210258,0.69714475,-0.4939785,-0.11354856,-0.9275837,0.3621192,-0.2850931,-0.969445,0.6483049,-0.3491152,-0.34176388,-0.72271115,0.6455264,0.10664599,-0.5083183,0.7975431,0.26514146,0.21655358,0.42205235,-0.60486645,-0.68459004,-1.1064025,0.29609686,-0.5263476,0.53806806,-0.4775092,-0.7693843,-0.3153486,0.34657243,0.87831676,-0.040792406,-0.94485414,-0.82288814
-0.17679158,0.1816733,-0.824731,-0.85040957,-0.80796623,0.49534577,-0.44396538,1.6566099,0.49034876,0.8765143,0.5654074,-0.4512716,-0.13436778,0.3200508,-0.40337276,-0.9824872,-1.0049486,0.43172944,0.77109665,-0.2115657,-0.38358712,0.34957758,-1.0087143,-2.0872023,-0.33096135,-0.21297123,0.07375344,0.13906752,0.12142871,1.6330764,0.36904716,-0.09257959,0.34257197,0.18464705,0.48950228,-0.031368773,-0.7136213,1.1611387,-1.1591014,0.37152395,-0.6653859,0.07728847,1.3688767,-0.20763664,0.26008594,0.44740573,-0.59222406,0.37249738,-0.4507286,0.26879942,-0.114399165,0.81252456,-0.14272891,-0.45175844,0.06434669,-0.1994384,0.81099266,-0.50745755,-0.3122652,-0.96259105,0.37247857,-0.35108545,-0.8692902,0.5506926,-0.30152327,-0.48533413,-0.6782493,0.7313296,0.09883636,-0.61685026,0.6574507,0.0950905,0.25157237,0.5684869,-0.66409254,-0.6910119,-1.0968767,0.4110175,-0.40947324,0.33720812,-0.49560994,-0.90982956,-0.34085533,0.43089715,0.85873365,0.009853818,-0.99588096,-0.9638726
-0.13293457,-0.12983777,-0.69258595,-0.71765774,-1.333612,0.7793625,-0.8026899,1.7452127,0.7297551,1.0979784,0.44148794,-0.57612675,-0.0757043,0.18024404,-0.60267144,-1.3161885,-1.0011481,0.8556096,0.6027741,-0.043610916,-0.3720432,0.4129196,-1.0505315,-1.8737118,-0.32244235,-0.08491649,-0.2051723,0.17580006,-0.037563547,2.0373669,0.30376497,-0.16594139,0.2751646,0.12687445,0.67636746,-0.04890821,-1.017321,0.883638,-1.0765234,0.8250269,-0.85499555,-0.3256055,1.2473416,0.16369246,-0.1112953,0.4351806,-0.7043681,0.49418664,-0.5465468,0.46766686,-0.073738754,0.51909804,-0.10089809,-0.523212,-0.075813845,0.041127574,1.1623358,-0.26376444,-0.5281057,-1.1623418,0.59827495,-0.588123,-0.89380187,0.5359713,-0.22053194,-0.3905363,-0.37978896,0.8286075,0.16306663,-0.5487627,0.5735907,-0.1744493,0.32118425,0.46394777,-0.8538001,-0.79578424,-1.3000773,0.4112575,-0.12315379,0.14217632,-0.23035792,-1.1010705,-0.27246478,0.4258143,1.0608933,0.22344787,-0.8616359,-1.1217041
